,เพศ,Age,Weight,Height,BMI,พื้นที่ทำแบบสอบถาม,Temp,Globe temp,RH,V,Thermal_acceptance,Thermal_sensation_Vote,อุณหภูมิ,ความชื้น,กระแสลม,ความแรงของแสงแดด,เหงื่อบริเวณผิวหนัง,ความร้อน,ความชื้น.1,กระแสลม.1,แสงแดด,เหงื่อบริเวณผิวหนัง.1,TMRT,Clo,Met,seasons
0,ชาย,27,49,169,17.15626204,ภายนอก/ มีหลังคาคลุม,30.5,30.6,42.9,0.13,Accept,0,2,1,2,3,2,0,-1,0,-1,0,30.628551,0.55,1.2,winter
1,ชาย,36,71,175,23.18367347,ภายนอก/ มีหลังคาคลุม,30.5,30.6,42.9,0.13,Accept,-1,3,0,5,3,1,0,0,1,-1,0,30.628551,0.55,1.2,winter
2,หญิง,25,89,153,38.01956512,ภายนอก/ มีหลังคาคลุม,30.5,30.6,42.9,0.13,Accept,-1,2,0,4,1,1,0,0,0,0,0,30.628551,0.55,1.2,winter
3,ชาย,29,75,165,27.54820937,ภายนอก/ มีหลังคาคลุม,30.5,30.6,42.9,0.13,Accept,-1,3,3,4,4,2,-1,0,0,-1,1,30.628551,0.55,1.2,winter
4,ชาย,28,118,187,33.74417341,ภายนอก/ มีหลังคาคลุม,30.5,30.6,42.9,0.13,Accept,-1,2,1,4,3,0,-1,-1,0,-1,0,30.628551,0.55,1.2,winter
5,ชาย,27,49,169,17.15626204,ภายนอก/ มีหลังคาคลุม,30.8,31.9,44.4,0.185,Accept,1,3,3,2,4,3,-1,-1,0,-1,-1,32.2976073,0.55,1.2,winter
6,หญิง,25,89,153,38.01956512,ภายนอก/ มีหลังคาคลุม,30.8,31.9,44.4,0.185,Accept,1,3,1,2,4,1,-1,0,1,-1,0,32.2976073,0.55,1.2,winter
7,ชาย,28,118,187,33.74417341,ภายนอก/ มีหลังคาคลุม,30.8,31.9,44.4,0.185,Accept,1,3,3,1,4,2,-1,-1,1,-1,-1,32.2976073,0.55,1.2,winter
8,ชาย,36,71,175,23.18367347,ภายนอก/ มีหลังคาคลุม,30.8,31.9,44.4,0.185,Accept,0,3,2,0,4,3,0,0,1,-1,0,32.2976073,0.55,1.2,winter
9,ชาย,29,75,165,27.54820937,ภายนอก/ มีหลังคาคลุม,30.8,31.9,44.4,0.185,Accept,2,5,6,2,5,5,-1,-1,-1,-1,-1,32.2976073,0.55,1.2,winter
10,ชาย,27,49,169,17.15626204,ภายนอก/ มีหลังคาคลุม,30.4,31.9,44,0.135,Accept,0,2,2,4,2,2,-1,-1,1,-1,0,32.3334325,0.55,1.2,winter
11,ชาย,29,75,165,27.54820937,ภายนอก/ มีหลังคาคลุม,30.4,31.9,44,0.135,Accept,1,3,3,4,3,3,-1,-1,-1,0,0,32.3334325,0.55,1.2,winter
12,ชาย,36,71,175,23.18367347,ภายนอก/ มีหลังคาคลุม,30.4,31.9,44,0.135,Accept,-1,2,0,3,2,2,0,0,0,-1,0,32.3334325,0.55,1.2,winter
13,ชาย,28,118,187,33.74417341,ภายนอก/ มีหลังคาคลุม,30.4,31.9,44,0.135,Accept,-1,2,1,3,1,0,-1,0,0,-1,0,32.3334325,0.55,1.2,winter
14,หญิง,25,89,153,38.01956512,ภายนอก/ มีหลังคาคลุม,30.4,31.9,44,0.135,Accept,-1,1,1,5,2,0,0,0,0,-1,0,32.3334325,0.55,1.2,winter
15,ชาย,28,118,187,33.74417341,ภายนอก/ มีหลังคาคลุม,31.3,31.4,38.1,0.11,Accept,1,1,3,1,1,1,-1,-1,1,0,0,31.4251589,0.55,1.2,winter
16,หญิง,25,89,153,38.01956512,ภายนอก/ มีหลังคาคลุม,31.3,31.4,38.1,0.11,Accept,0,1,0,1,0,0,0,0,1,0,0,31.4251589,0.55,1.2,winter
17,ชาย,36,71,175,23.18367347,ภายนอก/ มีหลังคาคลุม,31.3,31.4,38.1,0.11,Accept,0,3,0,1,0,2,0,0,0,0,0,31.4251589,0.55,1.2,winter
18,ชาย,27,49,169,17.15626204,ภายนอก/ มีหลังคาคลุม,31.3,31.4,38.1,0.11,Accept,1,3,2,0,1,2,-1,0,1,0,0,31.4251589,0.55,1.2,winter
19,ชาย,29,75,165,27.54820937,ภายนอก/ มีหลังคาคลุม,31.3,31.4,38.1,0.11,Accept,2,5,5,1,1,5,-1,-1,1,0,-1,31.4251589,0.55,1.2,winter
20,หญิง,25,89,153,38.01956512,ภายนอก/ มีหลังคาคลุม,30.7,32.5,42.5,0.285,Accept,-1,2,0,2,3,1,-1,0,1,-1,-1,33.3770054,0.55,1.2,winter
21,ชาย,36,71,175,23.18367347,ภายนอก/ มีหลังคาคลุม,30.7,32.5,42.5,0.285,Accept,2,4,0,2,4,4,0,0,1,-1,-1,33.3770054,0.55,1.2,winter
22,ชาย,27,49,169,17.15626204,ภายนอก/ มีหลังคาคลุม,30.4,31.5,42.4,0.15,Accept,0,2,2,2,4,2,-1,0,1,-1,-1,31.844041,0.55,1.2,winter
23,ชาย,28,118,187,33.74417341,ภายนอก/ มีหลังคาคลุม,30.4,31.5,42.4,0.15,Accept,2,3,2,3,3,2,-1,-1,0,-1,-1,31.844041,0.55,1.2,winter
24,ชาย,29,75,165,27.54820937,ภายนอก/ มีหลังคาคลุม,30.4,31.5,42.4,0.15,Accept,1,3,3,4,3,3,-1,-1,1,-1,-1,31.844041,0.55,1.2,winter
25,ชาย,27,49,169,17.15626204,ภายนอก/ กลางแจ้ง,27.7,27.8,50.4,0.21,Accept,-1,1,2,4,1,0,-1,0,0,0,0,27.8412606,0.55,1.2,winter
26,หญิง,25,89,153,38.01956512,ภายนอก/ กลางแจ้ง,27.7,27.8,50.4,0.21,Accept,-1,1,0,4,0,0,0,0,0,0,0,27.8412606,0.55,1.2,winter
27,ชาย,36,71,175,23.18367347,ภายนอก/ กลางแจ้ง,27.7,27.8,50.4,0.21,Accept,-1,1,1,3,1,0,0,0,0,0,-1,27.8412606,0.55,1.2,winter
28,หญิง,20,46,155,19.14672216,ภายนอก/ กลางแจ้ง,27.7,27.8,50.4,0.21,Accept,-2,0,1,6,0,0,0,0,0,0,0,27.8412606,0.55,1.2,winter
29,ชาย,20,63,173,21.0498179,ภายนอก/ กลางแจ้ง,27.7,27.8,50.4,0.21,Accept,-1,0,1,5,0,0,1,0,0,0,0,27.8412606,0.55,1.2,winter
30,ชาย,20,63,173,21.0498179,ภายนอก/ มีหลังคาคลุม,28.1,28.9,50.6,0.09,Accept,0,1,1,1,0,0,-1,0,0,0,0,29.0787771,0.55,1.2,winter
31,หญิง,20,46,155,19.14672216,ภายนอก/ มีหลังคาคลุม,28.1,28.9,50.6,0.09,Accept,-1,0,1,1,0,0,0,0,1,0,0,29.0787771,0.55,1.2,winter
32,ชาย,27,49,169,17.15626204,ภายนอก/ มีหลังคาคลุม,28.1,28.9,50.6,0.09,Accept,-1,0,2,1,0,0,-1,0,1,0,0,29.0787771,0.55,1.2,winter
33,หญิง,25,89,153,38.01956512,ภายนอก/ มีหลังคาคลุม,28.1,28.9,50.6,0.09,Accept,-1,1,1,2,0,0,0,0,1,0,0,29.0787771,0.55,1.2,winter
34,ชาย,36,71,175,23.18367347,ภายนอก/ มีหลังคาคลุม,28.1,28.9,50.6,0.09,Accept,-1,1,1,2,0,0,0,0,0,0,-1,29.0787771,0.55,1.2,winter
35,ชาย,27,49,169,17.15626204,ภายนอก/ มีหลังคาคลุม,27.5,27.8,50,0.075,Accept,-1,0,2,2,0,0,-1,0,1,-1,0,27.8595847,0.55,1.2,winter
36,หญิง,20,46,155,19.14672216,ภายนอก/ มีหลังคาคลุม,27.5,27.8,50,0.075,Accept,-2,1,0,1,0,0,0,0,1,0,0,27.8595847,0.55,1.2,winter
37,หญิง,25,89,153,38.01956512,ภายนอก/ มีหลังคาคลุม,27.5,27.8,50,0.075,Accept,-1,0,1,2,0,0,0,0,1,0,0,27.8595847,0.55,1.2,winter
38,ชาย,20,63,173,21.0498179,ภายนอก/ มีหลังคาคลุม,27.5,27.8,50,0.075,Accept,0,1,2,1,0,0,0,-1,1,0,0,27.8595847,0.55,1.2,winter
39,ชาย,36,71,175,23.18367347,ภายนอก/ มีหลังคาคลุม,27.5,27.8,50,0.075,Accept,-1,2,3,3,0,1,0,0,0,0,-1,27.8595847,0.55,1.2,winter
40,ชาย,27,49,169,17.15626204,ภายนอก/ มีหลังคาคลุม,27.7,28.1,46.6,0.265,Accept,-1,0,3,3,0,0,-1,0,0,0,1,28.2939527,0.55,1.2,winter
41,ชาย,36,71,175,23.18367347,ภายนอก/ มีหลังคาคลุม,27.7,28.1,46.6,0.265,Accept,-1,2,0,2,0,0,0,0,1,0,0,28.2939527,0.55,1.2,winter
